metric,logreg,dt,rf,xgb
accuracy,0.8133333333333334,0.8,0.8533333333333334,0.8666666666666667
precision,0.8125,0.6956521739130435,0.9333333333333333,0.8888888888888888
recall,0.5416666666666666,0.6666666666666666,0.5833333333333334,0.6666666666666666
f1,0.65,0.6808510638297872,0.717948717948718,0.7619047619047619
prauc,0.7504897659947475,0.7634463888324459,0.8464412875400396,0.8277476701293239
